Batch Size,Trial #,Cache Size,Fetch Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,2048,2048,0,1,1,101.209959983825,83.5312252044677,11.9343180656433,0.102795839309692,4400.43304277502,1304,11667,0.11176823519328019,243.150628566741
512,1,2048,2048,0,1,2,104.707055807113,86.1973793506622,12.4774599075317,0.0688333511352539,4552.48068726581,1373,11667,0.11768235193280192,243.158601522445
512,1,2048,2048,0,1,3,102.066915988922,84.3351423740387,11.9829502105712,0.0727143287658691,4437.69199951835,1285,11667,0.1101397102939916,243.158400058746
512,1,2048,2048,0,2,1,122.13859963417,105.173725843429,11.8293442726135,0.0440297126770019,5310.3738971378,1430,11667,0.12256792663066769,292.763660192489
512,1,2048,2048,0,2,2,125.072824001312,107.410167694091,12.2435085773468,0.044485330581665,5437.94886962227,1813,11667,0.15539556012685352,292.769267320632
512,1,2048,2048,0,2,3,149.858045339584,132.776583194732,11.9104299545288,0.0433309078216552,6515.5671886775,1428,11667,0.12239650295705837,292.763110399246
512,2,2048,2048,0,1,1,98.5486984252929,81.0640149116516,12.12855386734,0.0422480106353759,4284.72601849099,1393,11667,0.11939658866889517,239.008503913879
512,2,2048,2048,0,1,2,101.996996879577,84.1309957504272,12.4411985874176,0.04520845413208,4434.6520382425,1435,11667,0.12299648581469101,239.009212732315
512,2,2048,2048,0,1,3,100.08090186119,82.5235092639923,12.2104363441467,0.0426654815673828,4351.3435591822,1439,11667,0.12333933316190966,239.014424562454
512,2,2048,2048,0,2,1,105.805669546127,88.2884485721588,12.1826078891754,0.043626070022583,4600.24650200553,1530,11667,0.13113911031113396,245.106765031814
512,2,2048,2048,0,2,2,106.596930027008,88.6491892337799,12.4673604965209,0.0450141429901123,4634.64913160904,1565,11667,0.13413902459929716,245.110477209091
512,2,2048,2048,0,2,3,103.918988943099,86.4687762260437,12.2036323547363,0.0435547828674316,4518.21691056956,1520,11667,0.13028199194308734,245.103810310363
512,3,2048,2048,0,1,1,104.058047771453,86.5126526355743,12.1929912567138,0.0447063446044921,4524.2629465849,1570,11667,0.13456758378332048,242.286837339401
512,3,2048,2048,0,1,2,104.510110139846,86.5340754985809,12.4666681289672,0.043893814086914,4543.91783216725,1525,11667,0.13071055112711066,242.287090539932
512,3,2048,2048,0,1,3,99.1828866004943,81.7498362064361,12.1403963565826,0.0434191226959228,4312.299417412,1424,11667,0.12205365560983972,242.288767814636
512,3,2048,2048,0,2,1,104.618633031845,87.0673685073852,12.2293517589569,0.0434072017669677,4548.63621877587,1616,11667,0.13851032827633497,246.281947135925
512,3,2048,2048,0,2,2,106.985325813293,88.7586579322815,12.7536993026733,0.0443944931030273,4651.5359049258,1590,11667,0.13628182051941373,246.282315731048
512,3,2048,2048,0,2,3,106.461747646331,89.046844959259,12.126368522644,0.0436010360717773,4628.77163679703,1630,11667,0.13971029399160023,246.282619953155
512,1,2048,2048,0,1,1,124.17,103.44,14.79,0.05,4434.75,1923,14000,0.13735714285714284,130.16
512,1,2048,2048,0,1,2,123.85,103.49,14.44,0.05,4423.13,1896,14000,0.13542857142857143,130.16
512,1,2048,2048,0,1,3,123.84,102.1,15.38,0.05,4422.98,2104,14000,0.15028571428571427,129.8
512,1,2048,2048,0,2,1,138.88,118.73,14.29,0.05,4959.91,1946,14000,0.139,145.44
512,1,2048,2048,0,2,2,136.61,116.5,14.3,0.06,4878.81,2029,14000,0.14492857142857143,145.44
512,1,2048,2048,0,2,3,123.11,102.57,14.53,0.05,4396.77,2264,14000,0.16171428571428573,129.34
512,2,2048,2048,0,1,1,124.36,103.29,14.88,0.05,4441.41,1945,14000,0.13892857142857143,129.68
512,2,2048,2048,0,1,2,123.4,103.19,14.35,0.05,4407.11,1896,14000,0.13542857142857143,129.68
512,2,2048,2048,0,1,3,123.32,102.88,14.49,0.05,4404.46,1917,14000,0.13692857142857143,130.16
512,2,2048,2048,0,2,1,130.18,109.5,14.62,0.05,4649.35,2091,14000,0.14935714285714285,136.8
512,2,2048,2048,0,2,2,127.94,107.45,14.55,0.05,4569.34,2015,14000,0.14392857142857143,136.8
512,2,2048,2048,0,2,3,136.8,116.64,14.29,0.06,4885.6,1702,14000,0.12157142857142857,145.44
512,3,2048,2048,0,1,1,123.48,101.76,15.35,0.05,4410.13,2108,14000,0.15057142857142858,129.8
512,3,2048,2048,0,1,2,121.43,100.98,14.49,0.05,4336.69,2001,14000,0.14292857142857143,129.8
512,3,2048,2048,0,1,3,121.87,101.97,14.16,0.05,4352.58,1892,14000,0.13514285714285715,129.68
512,3,2048,2048,0,2,1,122.19,100.86,15.05,0.05,4363.95,2233,14000,0.1595,129.34
512,3,2048,2048,0,2,2,122.86,102,14.8,0.05,4387.92,2284,14000,0.16314285714285715,129.34
512,3,2048,2048,0,2,3,127.66,107.58,14.26,0.05,4559.22,2049,14000,0.14635714285714285,136.8
512,1,2048,1024,1024,1,1,39.91,16.43,17.02,0.12,1735.06,269,11667,0.023056484100454272,180.37
512,1,2048,1024,1024,1,2,39.75,16.5,16.58,0.11,1728.47,254,11667,0.02177080654838433,180.37
512,1,2048,1024,1024,1,3,39.85,15.83,17.26,0.1,1732.55,237,11667,0.020313705322705065,180.23
512,1,2048,1024,1024,2,1,44.54,21.4,16.65,0.11,1936.41,380,11667,0.032570497985771836,185.76
512,1,2048,1024,1024,2,2,44.78,20.92,17.13,0.1,1947.1,384,11667,0.032913345332990486,185.76
512,1,2048,1024,1024,2,3,43.87,19.94,17.33,0.11,1907.32,350,11667,0.029999142881631954,183.67
512,2,2048,1024,1024,1,1,39.55,16.66,16.45,0.11,1719.6,273,11667,0.023399331447672922,180.23
512,2,2048,1024,1024,1,2,39.93,16.51,16.2,0.14,1736.1,246,11667,0.02108511185394703,182.46
512,2,2048,1024,1024,1,3,38.07,15.49,16.29,0.11,1655.36,242,11667,0.020742264506728378,180.37
512,2,2048,1024,1024,2,1,43.19,19.42,17.17,0.1,1877.78,358,11667,0.030684837576069254,183.67
512,2,2048,1024,1024,2,2,42.74,19.79,16.47,0.1,1858.22,366,11667,0.031370532270506554,185.08
512,2,2048,1024,1024,2,3,41.36,18.51,16.35,0.09,1798.33,343,11667,0.029399160023999314,185.76
512,3,2048,1024,1024,1,1,40.74,16.95,16.84,0.14,1771.29,245,11667,0.02099940001714237,182.46
512,3,2048,1024,1024,1,2,37.84,15.07,16.44,0.1,1645.21,252,11667,0.021599382874775006,180.23
512,3,2048,1024,1024,1,3,38.85,15.94,16.18,0.12,1689.2,222,11667,0.019028027770635125,182.44
512,3,2048,1024,1024,2,1,43.16,20.1,16.51,0.1,1876.64,379,11667,0.032484786148967174,185.07
512,3,2048,1024,1024,2,2,41.45,18.62,16.39,0.11,1802.37,341,11667,0.02922773635038999,183.67
512,3,2048,1024,1024,2,3,44.61,20.77,17.18,0.1,1939.56,388,11667,0.033256192680209136,185.07
512,1,2048,1024,1024,1,1,110.49,82.44,20.12,0.14,3946.01,1847,14000,0.13192857142857142,123.01
512,1,2048,1024,1024,1,2,116.31,88.09,20.28,0.12,4153.95,1995,14000,0.1425,123.01
512,1,2048,1024,1024,1,3,102.09,77.61,17.27,0.1,3646.14,1734,14000,0.12385714285714286,123.01
512,1,2048,1024,1024,2,1,110.85,83.72,19.35,0.12,3958.82,2090,14000,0.1492857142857143,122.98
512,1,2048,1024,1024,2,2,116.62,88.07,20.44,0.12,4164.99,2228,14000,0.15914285714285714,122.98
512,1,2048,1024,1024,2,3,100.41,75.31,17.94,0.12,3585.97,1883,14000,0.1345,122.98
512,2,2048,1024,1024,1,1,108.2,83.11,17.76,0.1,3864.32,1934,14000,0.13814285714285715,122.49
512,2,2048,1024,1024,1,2,116.82,89.19,19.66,0.13,4172.18,2032,14000,0.14514285714285713,122.49
512,2,2048,1024,1024,1,3,102.37,78.81,16.81,0.1,3656.01,1820,14000,0.13,122.49
512,2,2048,1024,1024,2,1,98.03,72.28,18.36,0.13,3500.95,1991,14000,0.1422142857142857,122.08
512,2,2048,1024,1024,2,2,115.6,87.06,20.37,0.13,4128.54,2411,14000,0.1722142857142857,122.08
512,2,2048,1024,1024,2,3,95.87,70.85,17.87,0.12,3423.93,1898,14000,0.13557142857142856,122.08
512,3,2048,1024,1024,1,1,104.62,78.86,18.49,0.1,3736.4,1849,14000,0.13207142857142856,122.46
512,3,2048,1024,1024,1,2,115.71,87.05,20.52,0.11,4132.64,2036,14000,0.14542857142857143,122.46
512,3,2048,1024,1024,1,3,106.81,81.06,18.32,0.11,3814.78,1923,14000,0.13735714285714284,122.46
512,3,2048,1024,1024,2,1,108.38,81.21,19.28,0.12,3870.79,2106,14000,0.15042857142857144,122.3
512,3,2048,1024,1024,2,2,116.31,88.24,20.02,0.12,4153.83,2252,14000,0.16085714285714287,122.3
512,3,2048,1024,1024,2,3,109.14,82.04,19.37,0.14,3897.96,2094,14000,0.14957142857142858,122.3
